ID,name,crayfish.id,carapace.length.mm,sex,repro.form,claw.side,claw.length.mm,claw.width.mm,claw.strength.v,centroid.size,resid.str,resid.str.centroid
1,FO01R,FO01,24.708,f,2,r,11.593,4.62,0.382242,0.622753753,-2.464205718,-1.676346713
2,FO02L,FO02,24.83,f,2,l,11.568,4.526,0.633717,0.520343834,-2.194080039,-0.150573377
3,FO02R,FO02,24.83,f,2,r,13.481,5.71,2.062095,0.819055586,-2.192852014,-2.439099873
4,FO03L2,FO03,26.364,f,2,l,15.624,7.605,6.880356,0.926100455,1.026672763,1.047189578
5,FO03R2,FO03,26.364,f,2,r,15.295,6.466,7.282716,0.881437291,1.674475701,2.005298436
6,FO04L,FO04,24.609,f,2,l,16.223,7.416,2.11239,0.967404914,-4.188163512,-4.23473253
7,FO04R,FO04,24.609,f,2,r,15.844,6.294,2.61534,0.915021754,-3.402469215,-3.079972878
8,FO05L,FO05,29.133,f,2,l,16.599,8.001,5.522391,0.946969772,-1.058668727,-0.57045472
9,FO05R,FO05,29.133,f,2,r,15.874,7.288,2.283393,0.949167975,-3.75679703,-3.836805212
10,FO06L,FO06,30.902,f,2,l,17.999,9.446,5.804043,1.042214893,-1.821454764,-1.473948655
11,FO06R,FO06,30.902,f,2,r,17.068,8.45,5.683335,1.057449535,-1.24761147,-1.784223048
13,FO08L,FO08,24.225,f,2,l,12.484,6.211,4.546668,0.728834657,1.035510074,1.168102465
14,FO08R,FO08,24.225,f,2,r,11.824,5.909,3.289293,0.680096495,0.270513006,0.51718199
22,FO105L,FO105,22.759,f,1,l,12.613,6.378,5.824161,0.912957611,2.216765569,0.154532489
23,FO105R,FO105,22.759,f,1,r,12.601,6.316,5.542509,0.899545916,1.944065895,0.039763744
24,FO108L,FO108,34.127,f,1,l,20.883,11.468,9.15369,1.258380013,-0.623350121,-0.814068968
25,FO108R,FO108,34.127,f,1,r,20.673,11.59,10.129413,1.222402868,0.509038585,0.609321763
28,FO10L,FO10,24.293,f,2,l,11.915,5.82,2.937228,0.669099327,-0.149440467,0.301956009
29,FO10R,FO10,24.293,f,2,r,11.422,5.814,2.263275,0.67443755,-0.455602072,-0.43842111
31,FO111L,FO111,32.508,f,1,l,19.163,8.765,6.850179,1.132182403,-1.64369439,-1.547288672
32,FO111R,FO111,32.508,f,1,r,19.351,8.704,6.820002,1.072353049,-1.814124497,-0.833002177
33,FO112L,FO112,28.01,f,1,l,16.277,8.562,10.582068,1.009199917,4.241229021,3.714885468
34,FO112R,FO112,28.01,f,1,r,15.799,8.666,10.521714,1.032168062,4.537476008,3.368736212
35,FO113L,FO113,25.105,f,1,l,14.599,7.261,5.713512,0.882481689,0.624506611,0.423098872
36,FO113R,FO113,25.105,f,1,r,13.931,7.443,7.413483,0.876143354,2.82282376,2.2019385
37,FO114L,FO114,30.169,f,1,l,18.814,10.219,7.74543,1.120255205,-0.488079907,-0.503626183
38,FO114R,FO114,30.169,f,1,r,18.028,9.835,10.934133,1.150010043,3.287000448,2.314833964
44,FO11L,FO11,24.423,f,2,l,13.029,6.745,5.793984,0.770362621,1.876241267,1.898681259
45,FO11R,FO11,24.423,f,2,r,13.27,6.772,6.045459,0.777713936,1.947923719,2.058683006
48,FO123L,FO123,30.954,f,1,l,18.404,9.213,10.219944,1.198407359,2.292305232,0.998431626
49,FO123R,FO123,30.954,f,1,r,16.665,8.426,3.570945,0.990150894,-3.059352521,-3.05920836
55,FO12L,FO12,26.911,f,2,l,14.055,6.44,3.349647,0.734141201,-1.333519609,-0.094948469
56,FO12R,FO12,26.911,f,2,r,15.391,6.953,6.015282,0.934063984,0.335423093,0.083024476
57,FO130L,FO130,32.609,f,1,l,21.352,10.963,11.044782,1.256729233,0.917855137,1.097563877
58,FO130R,FO130,32.609,f,1,r,21.823,11.192,12.925815,1.268876264,2.44750934,2.827449981
59,FO136L,FO136,32.67,f,1,r,23.715,11.113,10.018764,1.342767948,-1.871025064,-0.999043695
60,FO136R,FO136,32.67,f,1,l,22.964,11.18,13.116936,1.335502303,1.78741334,2.189535557
66,FO13L,FO13,29.272,f,2,l,16.495,7.076,7.212303,0.946869975,0.708830098,1.120699065
67,FO13R,FO13,29.272,f,2,r,15.829,6.997,5.894574,0.964082684,-0.112044807,-0.411209642
125,FO17L,FO17,25.9,f,2,l,14.786,7.361,3.027759,0.914462424,-2.20075347,-2.660594071
126,FO17R,FO17,25.9,f,2,r,15.855,7.059,3.349647,0.906879678,-2.676368514,-2.244353095
135,FO22L,FO22,40.115,f,2,l,22.194,9.582,5.210562,1.237260238,-5.54451974,-4.494401192
